group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
int,1553,H,,4394,565,HALLMARK_IL6_JAK_STAT3_SIGNALING,88,11,0.125,0.5892606644222236,0.9999972065981355,0.8631554835899696,"c(""Il4ra"", ""Myd88"", ""Il10rb"", ""Ifnar1"", ""Pim1"", ""Tnfrsf1a"", ""Ptpn11"", ""Il12rb1"", ""Tnfrsf21"", ""Il2ra"", ""Hax1"")"
int,1553,H,,4394,565,HALLMARK_NOTCH_SIGNALING,32,4,0.125,0.6039771685990004,0.9999972065981355,0.8631554835899696,"c(""Notch1"", ""Tcf7l2"", ""Prkca"", ""Sap30"")"
int,1553,H,,4394,565,HALLMARK_INTERFERON_GAMMA_RESPONSE,206,25,0.12135922330097088,0.6568435110763454,0.9999972065981355,0.8631554835899696,"c(""Psmb8"", ""Il4ra"", ""Icam1"", ""Ogfr"", ""Trim25"", ""Myd88"", ""Casp8"", ""Ly6e"", ""Pde4b"", ""Irf2"", ""Pim1"", ""B2m"", ""St8sia4"", ""Sod2"", ""Psme2"", ""Pfkp"", ""Hif1a"", ""Il2rb"", ""Lap3"", ""Irf4"", ""Irf8"", ""Mthfd2"", ""Plscr1"", ""Nup93"", ""Psma2"")"
int,1553,H,,4394,565,HALLMARK_P53_PATHWAY,199,24,0.12060301507537688,0.6674014253234937,0.9999972065981355,0.8631554835899696,"c(""Ccnd3"", ""Notch1"", ""Traf4"", ""Ercc5"", ""Ephx1"", ""Mxd4"", ""Tob1"", ""Gadd45a"", ""Prkab1"", ""Dgka"", ""Mdm2"", ""Rchy1"", ""Lif"", ""Sat1"", ""Tsc22d1"", ""Ccnd2"", ""Sec61a1"", ""Hbegf"", ""Atf3"", ""Pom121"", ""Rrp8"", ""Mapkapk3"", ""Aen"", ""Pidd1"")"
int,1553,H,,4394,565,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,24,0.12,0.6772926985254418,0.9999972065981355,0.8631554835899696,"c(""Bcl2"", ""Tgm2"", ""Flnb"", ""Clic3"", ""Tob1"", ""Retreg1"", ""Add3"", ""Rasgrp1"", ""Ugcg"", ""Igf1r"", ""Myb"", ""Cish"", ""Slc2a1"", ""Slc7a5"", ""Slc16a1"", ""Bhlhe40"", ""Myc"", ""Rrp12"", ""Mybbp1a"", ""Scarb1"", ""Rbbp8"", ""Papss2"", ""Car12"", ""Fasn"")"
int,1553,H,,4394,565,HALLMARK_ANGIOGENESIS,36,4,0.1111111111111111,0.6981727069363568,0.9999972065981355,0.8631554835899696,"c(""Ccnd2"", ""Tnfrsf21"", ""Olr1"", ""Vcan"")"
int,1553,H,,4394,565,HALLMARK_TGF_BETA_SIGNALING,54,6,0.1111111111111111,0.7109755358089227,0.9999972065981355,0.8631554835899696,"c(""Junb"", ""Smad1"", ""Arid4b"", ""Tgif1"", ""Fkbp1a"", ""Serpine1"")"
int,1553,H,,4394,565,HALLMARK_FATTY_ACID_METABOLISM,157,18,0.11464968152866242,0.7376590384298382,0.9999972065981355,0.8631554835899696,"c(""Pdha1"", ""Ephx1"", ""Bphl"", ""Acss1"", ""Cd1d1"", ""Urod"", ""Decr1"", ""Nsdhl"", ""Reep6"", ""Kmt5a"", ""Ldha"", ""Acsl5"", ""Cpox"", ""Sdhd"", ""Hsp90aa1"", ""Apex1"", ""Fasn"", ""Aco2"")"
int,1553,H,,4394,565,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,23,0.11557788944723618,0.7439584199400464,0.9999972065981355,0.8631554835899696,"c(""Pdha1"", ""Aldh6a1"", ""Atp1b1"", ""Decr1"", ""Uqcrc1"", ""Phb2"", ""Ldha"", ""Idh3a"", ""Got2"", ""Cyc1"", ""Ndufb6"", ""Sdhd"", ""Atp5g3"", ""Cycs"", ""Atp5b"", ""Slc25a5"", ""Hspa9"", ""Uqcrfs1"", ""Uqcrb"", ""Atp5o"", ""Aco2"", ""Pmpca"", ""Nnt"")"
int,1553,H,,4394,565,HALLMARK_MITOTIC_SPINDLE,199,22,0.11055276381909548,0.8108835599415881,0.9999972065981355,0.8631554835899696,"c(""Mid1"", ""Kif5b"", ""Flnb"", ""Abi1"", ""Prex1"", ""Smc4"", ""Arhgef3"", ""Dst"", ""Arhgdia"", ""Stk38l"", ""Espl1"", ""Plk1"", ""Tpx2"", ""Lmnb1"", ""Ect2"", ""Actn4"", ""Brca2"", ""Dynll2"", ""Als2"", ""Rapgef5"", ""Pif1"", ""Clasp1"")"
int,1553,H,,4394,565,HALLMARK_XENOBIOTIC_METABOLISM,203,22,0.10837438423645321,0.8385110289622615,0.9999972065981355,0.8631554835899696,"c(""Fah"", ""Ephx1"", ""Bphl"", ""Tmbim6"", ""Tnfrsf1a"", ""Bcat1"", ""Pgd"", ""Cndp2"", ""Shmt2"", ""Irf8"", ""Ahcy"", ""Atp2a2"", ""Mthfd1"", ""Gart"", ""Slc6a6"", ""Serpine1"", ""Tpst1"", ""Arpp19"", ""Papss2"", ""Lonp1"", ""Slc12a4"", ""Aco2"")"
