group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,pathway_GOID,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
int,1553,C5,GO:BP,15653,1379,GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,GO:1901992,88,15,0.17045454545454544,0.0095614351041853,0.15682149400806106,0.14391741351593548,"c(""Ccnd3"", ""Mta3"", ""Cdc25b"", ""Mdm2"", ""Ccnd2"", ""Ddx3x"", ""Rcc2"", ""Phb2"", ""Espl1"", ""Ube2c"", ""Cdc25a"", ""Rad51b"", ""Apex1"", ""Eif4g1"", ""Akt1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_LOCALIZATION,GO:0040001,35,8,0.22857142857142856,0.009705319898611378,0.15802792617521572,0.14502457422867807,"c(""Dynlt1b"", ""Nde1"", ""Itgb1"", ""Espl1"", ""Plk1"", ""Mcph1"", ""Kpnb1"", ""Clasp1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_PYRIMIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,GO:0072528,35,8,0.22857142857142856,0.009705319898611378,0.15802792617521572,0.14502457422867807,"c(""Tk2"", ""Ctps2"", ""Prps1"", ""Shmt1"", ""Nme6"", ""Cad"", ""Uck2"", ""Umps"")"
int,1553,C5,GO:BP,15653,1379,GOBP_REGULATION_OF_MITOTIC_SPINDLE_ASSEMBLY,GO:1901673,22,6,0.2727272727272727,0.010056329043327292,0.16125437421044006,0.14798553349647578,"c(""Chmp4c"", ""Chmp2b"", ""Cep97"", ""Plk1"", ""Hnrnpu"", ""Ccsap"")"
int,1553,C5,GO:BP,15653,1379,GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS,GO:0071391,16,5,0.3125,0.010082883656683056,0.16125437421044006,0.14798553349647578,"c(""Wbp2"", ""Myc"", ""Pelp1"", ""Serpinb9"", ""Sfr1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_POSITIVE_REGULATION_OF_GLUCONEOGENESIS,GO:0045722,16,5,0.3125,0.010082883656683056,0.16125437421044006,0.14798553349647578,"c(""Foxo1"", ""Kat2b"", ""Ddb1"", ""Wdr5"", ""Arpp19"")"
int,1553,C5,GO:BP,15653,1379,GOBP_REGULATION_OF_RRNA_PROCESSING,GO:2000232,16,5,0.3125,0.010082883656683056,0.16125437421044006,0.14798553349647578,"c(""Kat2b"", ""Ythdf2"", ""Wdr43"", ""Riok2"", ""Heatr1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_RNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION,GO:0040033,16,5,0.3125,0.010082883656683056,0.16125437421044006,0.14798553349647578,"c(""Tnrc6a"", ""Ago2"", ""Eif4enif1"", ""Eif6"", ""Eif4g1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,GO:0022409,275,36,0.13090909090909092,0.010551018553315146,0.1681428275836818,0.15430716943594155,"c(""Thy1"", ""Il4ra"", ""Piezo1"", ""Mdk"", ""Zap70"", ""Cd3e"", ""Cd55"", ""H2-Ob"", ""Sash3"", ""Cd1d1"", ""Rhoh"", ""Rasgrp1"", ""Sox13"", ""Tnfrsf14"", ""B2m"", ""Lef1"", ""Dpp4"", ""Gata3"", ""F11r"", ""Ap3b1"", ""Myb"", ""Ifng"", ""Ptpn11"", ""Hmgb1"", ""Icos"", ""Il12rb1"", ""Nr4a3"", ""Hspd1"", ""Tnfsf14"", ""Slc7a1"", ""Il2ra"", ""Tfrc"", ""St3gal4"", ""Dnaja3"", ""Nfat5"", ""Akt1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,GO:0042176,389,48,0.12339331619537275,0.010679967930030811,0.16926680420779783,0.15533865947254866,"c(""Nedd4"", ""Ubb"", ""Axin1"", ""Ptk2b"", ""Mndal"", ""Ufl1"", ""Timp2"", ""Disc1"", ""Ctsa"", ""Marchf7"", ""Foxo1"", ""Fbxl20"", ""Zer1"", ""Stx5a"", ""Wwp2"", ""Mdm2"", ""Pttg1ip"", ""Sdcbp"", ""Vps28"", ""Gabarap"", ""Rchy1"", ""Oaz2"", ""Ctsc"", ""Csnk2a1"", ""Psme2"", ""Ifng"", ""Cblb"", ""Cdc20"", ""Plk1"", ""Ldlr"", ""Uchl5"", ""Psme3"", ""Hmgcr"", ""Psmc1"", ""Smarcc1"", ""Rad23b"", ""Psmd2"", ""Ddb1"", ""Fbxw8"", ""Azin1"", ""Pin1"", ""Ubqln4"", ""Psmc4"", ""Hsp90aa1"", ""Ubxn2a"", ""Glmn"", ""Adam9"", ""Akt1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,GO:0043367,81,14,0.1728395061728395,0.010696878592571114,0.16926680420779783,0.15533865947254866,"c(""Il4ra"", ""Sema4a"", ""Gpr183"", ""Il6ra"", ""Sash3"", ""Slamf6"", ""Lef1"", ""Gata3"", ""Myb"", ""Ifng"", ""Hmgb1"", ""Ptger4"", ""Il12rb1"", ""Irf4"")"
int,1553,C5,GO:BP,15653,1379,GOBP_PYRIMIDINE_NUCLEOTIDE_METABOLIC_PROCESS,GO:0006220,50,10,0.2,0.01074733543622124,0.1694685103522044,0.1555237681961766,"c(""Ctps2"", ""Prps1"", ""Tdg"", ""Shmt1"", ""Dctpp1"", ""Nme6"", ""Ung"", ""Cad"", ""Uck2"", ""Umps"")"
