libID	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
AR59	6509166946	6473585070		4002632894.0	1693128380.0	443978045.0	333845751.0	0.0	0.0	0.0	10120222.0	10108461.0	110739.0	0.500291	0.499709		0.618302	0.261544	0.068583	0.05157	0.879847	0.875037	0.0	0.464154	0.247175	0.172282	1.390637			
AR1	5549682452	5518758942		3109396838.0	1345530908.0	657231818.0	406599378.0	0.0	0.0	0.0	7961527.0	7895395.0	79703.0	0.502085	0.497915		0.563423	0.24381	0.119091	0.073676	0.807234	0.802736	0.0	0.485415	0.146268	0.119092	1.185064			
IL25	6420956770	6381115063		3816434661.0	1547647914.0	539715395.0	477317093.0	0.0	0.0	0.0	9537331.0	9602676.0	99839.0	0.498293	0.501707		0.598083	0.242536	0.08458	0.074802	0.840618	0.835402	0.0	0.47722	0.189645	0.136536	1.305304			
AR136	5761453669	5731065874		2996698008.0	1501952529.0	844903556.0	387511781.0	0.0	0.0	0.0	8060428.0	8059121.0	91472.0	0.500041	0.499959		0.522887	0.262072	0.147425	0.067616	0.784959	0.780819	0.0	0.423169	0.194784	0.208418	0.950172			
AR3	5482261712	5454897214		3059775806.0	1303599985.0	717524449.0	373996974.0	0.0	0.0	0.0	7812717.0	7691132.0	92650.0	0.503921	0.496079		0.560923	0.238978	0.131538	0.068562	0.799901	0.795908	0.0	0.442777	0.225322	0.138237	1.539555			
AR27	5636207521	5610258308		3302259972.0	1434536611.0	472663399.0	400798326.0	0.0	0.0	0.0	8442907.0	8343217.0	89555.0	0.502969	0.497031		0.588611	0.255699	0.08425	0.07144	0.84431	0.840423	0.0	0.503945	0.203901	0.089753	1.844692			
AR158	5415337402	5387072662		3076363330.0	1542414128.0	419560011.0	348735193.0	0.0	0.0	0.0	8255567.0	8116016.0	85710.0	0.504262	0.495738		0.571064	0.286318	0.077883	0.064736	0.857382	0.852907	0.0	0.470536	0.208101	0.182354	0.950197			
AR7	7152843689	7113734292		3990920610.0	1661885496.0	959495791.0	501432395.0	0.0	0.0	0.0	10109168.0	10004058.0	114154.0	0.502613	0.497387		0.561016	0.233616	0.134879	0.070488	0.794633	0.790288	0.0	0.446036	0.187654	0.13497	1.418452			
AR9	4720255041	4692029738		2597008362.0	1130540086.0	612063307.0	352417983.0	0.0	0.0	0.0	6661688.0	6596651.0	69281.0	0.502453	0.497547		0.553494	0.240949	0.130447	0.07511	0.794443	0.789692	0.0	0.495142	0.144493	0.128109	1.075472			
AR131	5480312965	5452535390		2931298050.0	1471514287.0	670046883.0	379676170.0	0.0	0.0	0.0	7795263.0	7929844.0	85400.0	0.495721	0.504279		0.537603	0.269877	0.122887	0.069633	0.80748	0.803387	0.0	0.420605	0.19566	0.193395	1.061763			
AR53	5448754647	5422780065		3272998894.0	1425290605.0	415568649.0	308921917.0	0.0	0.0	0.0	8351818.0	8306012.0	84507.0	0.501375	0.498625		0.603565	0.262834	0.076634	0.056967	0.866399	0.862269	0.0	0.493004	0.192328	0.124882	1.489669			
